USN ,CS301_CIE,CS301_SEE,CS302_CIE,CS302_SEE,CS303_CIE,CS303_SEE,CS304_CIE,CS304_SEE,CS305_CIE,CS305_SEE,CS306_CIE,CS306_SEE
19CS001,40,43,39,35,46,40,34,36,25,30,34,36
19CS002,43,40,35,32,45,42,40,40,30,34,36,37
19CS003,38,42,39,38,38,40,37,45,34,36,45,40
19CS004,42,43,41,43,44,43,38,40,26,34,36,40
19CS005,26,34,39,35,42,40,47,46,40,35,35,36
19CS006,45,41,43,43,39,41,38,39,34,37,26,34
19CS007,32,33,45,46,45,43,45,46,27,40,29,36
19CS008,37,40,46,45,43,40,43,45,40,36,37,36
19CS009,43,37,32,35,36,40,37,38,35,34,41,40
19CS010,40,35,39,35,46,45,26,30,25,31,42,39
